conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d0c6d77e-cb25-4770-bf77-2073fc5f7523,infraestructura de las TIC,released,knowledge,sector-specific,,"El sistema, la red, las aplicaciones y componentes de hardware y software, así como los dispositivos y procesos que se utilizan para desarrollar, probar, ofrecer, monitorizar, controlar o prestar apoyo a los servicios de las TIC.",http://data.europa.eu/esco/isced-f/0714,electrónica y automatización
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d0e438df-18fb-4d70-b661-09a4e879e0db,manejar dispositivos de salvamento,released,skill/competence,sector-specific,manipular dispositivos de salvamento | operar dispositivos de salvamento,"Manejar las embarcaciones de salvamento y sus dispositivos y aparejos de puesta a flote. Utilizar instrumentos de salvamento, como los dispositivos radioeléctricos de salvamento, radiobalizas de localización de siniestros por satélite, respondedores de radar de búsqueda y salvamento, trajes de inmersión y ayudas de protección térmica.",http://data.europa.eu/esco/skill/872c0ddb-f056-4f51-afac-fc3d6fae0f5b,manejar material médico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d12e9d68-84c5-444e-aa98-d36533bf03f6,aplicar los servicios de atención al usuario en un entorno de biblioteca de infraestructura de tecnologías de la información,released,skill/competence,occupation-specific,establecer los servicios de atención al usuario en una biblioteca de infraestructura de tecnologías de información | implementar los servicios de atención al usuario en una biblioteca de infraestructura de tecnologías de información,Operar correctamente los procedimientos del servicio de asistencia basado en la Biblioteca de Infraestructura de Tecnologías de la Información (ITIL).,http://data.europa.eu/esco/skill/802deca0-b880-4d1a-b366-e13b27621baf,cumplir los procedimientos operativos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1455e46-2d0d-4661-86ab-3cb7a0c46d02,registrar electrónicamente las llamadas de emergencias,released,skill/competence,occupation-specific,llevar un registro electrónico de las llamadas de emergencias | hacer un registro electrónico de las llamadas de urgencias | llevar un registro electrónico de las llamadas de urgencias | hacer un registro electrónico de las llamadas de emergencias | registrar electrónicamente las llamadas de urgencias,Registrar la información recibida de los usuarios del servicio de emergencias en un ordenador para su posterior tratamiento o a efectos de mantenimiento de registros.,http://data.europa.eu/esco/skill/1034004c-0347-4765-8794-b65d2c92b379,documentar y registrar información
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60,tener competencias informáticas,released,skill/competence,cross-sector,,"Utilizar de manera eficiente los ordenadores, los equipos informáticos y la tecnología moderna.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,acceder a y analizar datos digitales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d181042e-c531-4461-af7c-4071c53418fe,mecanografiar en dispositivos electrónicos,released,skill/competence,cross-sector,,"Mecanografiar de forma rápida e impecable en dispositivos electrónicos como ordenadores, a fin de garantizar una introducción de datos rápida y precisa.",http://data.europa.eu/esco/skill/9bdf8a77-8524-43da-bac6-d15d22e1b7ed,introducir y modificar información
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1a86399-24d8-415f-98b9-e8cbb6b04a26,Unity (sistemas de creación de juegos digitales),released,knowledge,sector-specific,,"El motor de juegos Unity, un marco de software integrado que consiste en entornos de desarrollo integrados y herramientas especializadas, diseñado para la iteración rápida de juegos informáticos creados por usuarios.",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,sistemas de creación de juegos digitales | técnicas audiovisuales y producción para medios de comunicación
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1e954cd-d290-4d80-97c0-7969960d2928,servicios distribuidos de directorio de información,released,knowledge,sector-specific,servicios distribuidos del directorio de información | servicios de directorio distribuidos | servicios de directorio | servicios de información de directorio | servicios de información de directorio distribuidos,"Los servicios de directorio que automatizan la gestión en red de la seguridad, los datos de usuario y los recursos distribuidos y permiten el acceso a la información en un directorio en un sistema informático.",http://data.europa.eu/esco/isced-f/0612,diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb,proteger la salud y el bienestar mediante tecnologías digitales,released,skill/competence,cross-sector,,"Ser capaz de evitar riesgos para la salud y amenazas para el bienestar físico y psicológico mediante el uso de tecnologías digitales. Ser capaz de protegerse a sí mismo y a otras personas frente a posibles peligros en el entorno digital (por ejemplo, el ciberacoso). Conocer las tecnologías digitales para el bienestar social y la inclusión social.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/5bcec244-3efe-45ac-8891-0ab4a91e9c48,seguridad de las tecnologías de la información y de las comunicaciones | cumplir los procedimientos de salud y seguridad
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d1fa702c-9ea8-4a60-bb76-5ca07c32b68c,supervisar la calidad de vídeo,released,skill/competence,occupation-specific,,Supervisar la calidad y el progreso de la ingeniería y edición de audio y vídeo.,http://data.europa.eu/esco/skill/5d34adde-0b78-42b4-9d3d-69e9388d8398 | http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae | http://data.europa.eu/esco/skill/8ddcb295-707e-459c-ba6a-66ffb37835c5,supervisar el control de calidad | gestionar la calidad | manejar equipos audiovisuales operativos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2309723-3472-46d2-865a-db81db2269b6,reconocer los riesgos de la cadena de bloques,released,skill/competence,sector-specific,,"Reconocer los riesgos asociados a la cadena de bloques y las criptomonedas. Aparte de los riesgos vinculados normalmente a los procesos empresariales que impulsan, las cadenas de bloques conllevan riesgos de transferencia de valor ligados al tipo de transferencia de valor entre pares. El riesgo también está vinculado a los contratos inteligentes como representaciones digitales de relaciones comerciales más o menos complejas.
	",http://data.europa.eu/esco/skill/7e153e1d-2b12-43ad-89f3-0cf82ebc4a30,realizar análisis y gestión de riesgos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d2adb565-a865-424d-aeb5-9fbcbf2afe2a,Joomla,released,knowledge,sector-specific,,"El sistema de software de fuente abierta basado en la web escrito en PHP utilizado para crear, editar, publicar y archivar blogs, artículos, sitios web de grandes o pequeñas empresas, sitios web de redes sociales o comunicados de prensa.",http://data.europa.eu/esco/skill/5c66ce3a-658d-43b1-9d8d-0f39be6c0f2e | http://data.europa.eu/esco/isced-f/0613,WebCMS | desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d31fab87-2a7d-485c-b699-2901ca294b15,utilizar programación funcional,released,skill/competence,sector-specific,,"Utilizar herramientas de TIC especializadas para crear un código informático que trate la computación como evaluación de las funciones matemáticas y que busque evitar datos de estado y mutables. Utilizar lenguajes de programación compatibles con este método, como LISP, PROLOG y Haskell.",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d3286405-49f8-4e8a-8046-a4376b4e7963,gestionar los datos y el almacenamiento en la nube,released,skill/competence,sector-specific,,"Crear y gestionar la retención de datos en la nube. Identificar necesidades de protección de datos, cifrado y planificación de la capacidad y responder a ellas.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77 | http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f,gestionar información | gestionar bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d32db06e-bd06-4415-a7ab-1b0ee68caa9a,cifrado de las TIC,released,knowledge,sector-specific,criptografía de claves públicas | encriptado de las TIC | codificación de las TIC | criptografía de las TIC | capa de conexiones seguras,"La conversión de datos electrónicos en un formato legible solo por partes autorizadas que utilicen técnicas clave de cifrado, como la Infraestructura de Clave Pública (PKI) y Scure Socket Layer (SSL).",http://data.europa.eu/esco/isced-f/0612,diseño y administración de redes y bases de datos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/d38055cc-7c76-4e5e-90e7-5bb5d5851a92,coordinar que los radares de modo S estén configurados con códigos de interrogación,released,skill/competence,sector-specific,controlar que los radares modo S estén configurados con códigos de interrogación | regular que los radares de modo S estén configurados con códigos de interrogación,Asegurarse del funcionamiento correcto y seguro de los radares de vigilancia secundaria de modo S. Asegurarse de que estén configurados con un Código de Interrogador (IC) asignado específicamente a cada radar.,http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/c6c37f68-190e-4482-905c-93007a64ed61,manejar equipos de comunicaciones | operar el equipo de radar
