conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/303c6ab0-21c3-4b09-ac77-d405936857d9,materiales de instalación sostenibles,released,knowledge,sector-specific,,"Los tipos de materiales de instalación que minimizan el impacto negativo del edificio y de su construcción en el entorno exterior durante todo su ciclo de vida.
	",http://data.europa.eu/esco/skill/e26e07ca-4a35-42e3-940d-e5868fd38fba | http://data.europa.eu/esco/isced-f/0732,industria de los materiales de construcción | construcción e ingeniería civil
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/30685aeb-512f-4517-adc8-63bdc1eefb8e,diseñar un sistema de calefacción por paneles solares,released,skill/competence,sector-specific,,"Diseñar un sistema de energía solar térmica. Calcular la demanda exacta de calefacción del edificio y la demanda exacta de agua caliente sanitaria para determinar la capacidad correspondiente (kW, litros). Realizar un diseño detallado de la instalación, el principio y la estrategia de automatización utilizando los productos y conceptos disponibles. Determinar y calcular la calefacción externa.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,diseñar sistemas o equipos eléctricos o electrónicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/306d9964-2d32-4952-927a-e836bf7041ab,fertilizantes naturales,released,knowledge,occupation-specific,,"La composición y la acción de fertilizantes naturales/orgánicos, tales como fertilizantes minerales o fertilizantes de origen animal o vegetal.",http://data.europa.eu/esco/isced-f/0811,producción agrícola y ganadera
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/30783499-3872-4b14-9684-6217e98c6e1d,vertido de residuos recogidos,released,knowledge,sector-specific,descarga de residuos recogidos | eliminación de residuos recogidos,Los procedimientos que deben seguirse para verter los residuos recogidos de forma segura y en el lugar designado para ello.,http://data.europa.eu/esco/isced-f/0712,tecnología de protección del medio ambiente
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/30dce29d-0518-4f5d-aeb0-2b5b49e3afbe,acuaponía,released,knowledge,sector-specific,,"Los principios y las técnicas que combinan la hidroponía y la acuicultura para producir alimentos destinados al consumo humano de una manera sostenible, tomando como base la recirculación del agua entre compartimentos de piscicultura y de cultivo de plantas.
   ",http://data.europa.eu/esco/isced-f/0811,producción agrícola y ganadera
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/311832d1-1167-47c7-b613-fc64784ffeed,describir el sistema de propulsión eléctrico,released,skill/competence,sector-specific,,"Describir el sistema de propulsión eléctrico completo con todos los componentes necesarios. Dichos componentes son el inversor, el motor eléctrico y los demás elementos auxiliares, como el convertidor CC-CC y los cargadores.
	",http://data.europa.eu/esco/skill/d54970ba-d9f2-41ec-a852-bbd1e5796823,facilitar información al público y a los clientes
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/31efacf9-6623-4d88-947a-34613ce3c468,asesorar sobre temas relacionados con los árboles,released,skill/competence,sector-specific,,"Prestar asesoramiento a organizaciones y particulares sobre la plantación, el cuidado, la poda o la tala de árboles.
	",http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd | http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,asesorar sobre cuestiones ambientales | asesorar a otras personas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3217dc52-af06-4f59-8938-3178733128c6,riesgos asociados con la carga de mercancías peligrosas,released,knowledge,cross-sector,,"Los peligros derivados del transporte de determinadas mercancías peligrosas, así como las acciones de emergencia y los procedimientos de manipulación en caso de accidente con las mercancías durante su carga o transporte.
	",http://data.europa.eu/esco/isced-f/1041,servicios de transporte
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/32a76797-6235-4659-869f-c691ffd30463,paleoclimatología,released,knowledge,occupation-specific,estudio del clima en épocas geológicas antiguas | estudio histórico del clima,"La ciencia que estudia los cambios climáticos durante toda la historia de la Tierra mediante la recogida y el análisis de muestras de elementos como las rocas, el hielo, los anillos de árboles y los sedimentos.",http://data.europa.eu/esco/isced-f/0532,ciencias de la tierra
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33784b61-bd86-4451-8a89-741ada5f8475,mantener sistemas fotovoltaicos,released,skill/competence,sector-specific,realizar tareas de mantenimiento en sistemas fotovoltaicos | reparar sistemas fotovoltaicos | garantizar el buen funcionamiento de sistemas fotovoltaicos | mantener sistemas de energía solar,"Realizar tareas de mantenimiento y reparaciones de sistemas que generen energía eléctrica mediante la conversión de la luz en corrientes eléctricas, el efecto fotovoltaico. Garantizar el cumplimiento de la normativa y la correcta instalación del sistema fotovoltaico.",http://data.europa.eu/esco/skill/ec0401f1-f690-46be-934b-f6f5611085f5,"mantener aparatos eléctricos, electrónicos y de precisión"
