conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0819,agricultura no contemplada en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0819
SkillGroup,http://data.europa.eu/esco/isced-f/082,silvicultura,,,released,2024-05-02T16:02:09.087Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,082
SkillGroup,http://data.europa.eu/esco/isced-f/0821,silvicultura,,,released,2024-05-02T16:02:00.811Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0821
SkillGroup,http://data.europa.eu/esco/isced-f/083,pesca,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,083
SkillGroup,http://data.europa.eu/esco/isced-f/0831,pesca,,,released,2021-03-16T13:50:37.609Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0831
SkillGroup,http://data.europa.eu/esco/isced-f/084,veterinaria,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,084
SkillGroup,http://data.europa.eu/esco/isced-f/0841,veterinaria,,,released,2023-02-22T20:03:53.109Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0841
SkillGroup,http://data.europa.eu/esco/isced-f/088,"programas y certificaciones interdisciplinarios relacionados con la agricultura, la silvicultura, la pesca y la veterinaria",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,088
SkillGroup,http://data.europa.eu/esco/isced-f/0888,"programas y certificaciones interdisciplinarios relacionados con la agricultura, la silvicultura, la pesca y la veterinaria",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0888
SkillGroup,http://data.europa.eu/esco/isced-f/089,"agricultura, silvicultura, pesca y veterinaria no contempladas en la clasificación",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,089
SkillGroup,http://data.europa.eu/esco/isced-f/0899,"agricultura, silvicultura, pesca y veterinaria no contempladas en la clasificación",,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0899
SkillGroup,http://data.europa.eu/esco/isced-f/09,salud y bienestar,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,09
SkillGroup,http://data.europa.eu/esco/isced-f/090,salud y bienestar sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,090
SkillGroup,http://data.europa.eu/esco/isced-f/0900,salud y bienestar sin mayor definición,,,released,2024-04-10T10:11:41.662Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0900
SkillGroup,http://data.europa.eu/esco/isced-f/091,salud,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,091
SkillGroup,http://data.europa.eu/esco/isced-f/0910,salud sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0910
SkillGroup,http://data.europa.eu/esco/isced-f/0911,odontología,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0911
SkillGroup,http://data.europa.eu/esco/isced-f/0912,medicina,,,released,2023-07-05T15:39:12.407Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0912
SkillGroup,http://data.europa.eu/esco/isced-f/0913,enfermería y partería,,,released,2021-09-20T12:26:36.821Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0913
SkillGroup,http://data.europa.eu/esco/isced-f/0914,tecnología de diagnóstico y tratamiento médico,,,released,2023-07-04T12:51:47.743Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0914
SkillGroup,http://data.europa.eu/esco/isced-f/0915,terapia y rehabilitación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,0915
SkillGroup,http://data.europa.eu/esco/isced-f/0916,farmacia,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0916
